trait	pmid	date_published	size_cases	size_controls	size_other	size_total	size_effective	nsignif
Blood trace element (Zn levels)	23720494	2013-05-29	0	0	2603	2603	2603	3
Blood urea nitrogen levels	29403010	2018-02-05	0	0	139818	139818	139818	44
Blood urea nitrogen levels	29558500	2018-03-20	0	0	7064	7064	7064	1
Blood urea nitrogen levels	31152163	2019-05-31	0	0	416178	416178	416178	111
Blue vs. brown eyes	17952075	2007-10-21	0	0	2986	2986	2986	1
Blue vs. green eyes	17952075	2007-10-21	0	0	2986	2986	2986	3
Blue vs. green eyes	18488028	2008-05-18	0	0	5130	5130	5130	1
Body fat distribution (arm fat ratio)	30664634	2019-01-21	0	0	116138	116138	116138	95
Body fat distribution (leg fat ratio)	30664634	2019-01-21	0	0	116138	116138	116138	132
Body fat distribution (trunk fat ratio)	30664634	2019-01-21	0	0	116138	116138	116138	150
Body fat mass	28224759	2017-02-22	0	0	9179	9179	9179	3
Body fat mass	28552196	2017-06-01	0	0	15201	15201	15201	4
Body fat percentage	26833246	2016-02-01	0	0	78525	78525	78525	27
Body fat percentage	28270201	2017-03-07	0	0	26343	26343	26343	6
Body fat percentage	30593698	2018-12-28	0	0	155961	155961	155961	96
Body fat percentage	31453325	2019-08-14	0	0	341632	341632	341632	3
Body fat percentage	31752434	2019-11-19	0	0	828	828	828	9
Body fat percentage variance	31453325	2019-08-14	0	0	341632	341632	341632	5
Body mass (lean)	19268274	2009-03-04	0	0	973	973	973	1
Body mass (lean)	23108985	2012-10-30	0	0	1627	1627	1627	1
Body mass in chronic obstructive pulmonary disease	21037115	2010-10-29	2950	0	0	2950	2950	1
Body mass index	17434869	2007-04-12	5485	5174	0	10659	10649.92588422929	1
Body mass index	18454148	2008-05-04	0	0	16876	16876	16876	2
Body mass index	19079260	2008-12-14	0	0	73758	73758	73758	10
Body mass index	19079261	2008-12-14	0	0	32387	32387	32387	7
Body mass index	20935630	2010-10-10	0	0	123865	123865	123865	32
Body mass index	22344219	2012-02-19	0	0	27715	27715	27715	6
Body mass index	22982992	2012-09-12	0	0	133154	133154	133154	1
Body mass index	23563607	2013-04-07	0	0	16068	16068	16068	10
Body mass index	23583978	2013-04-14	0	0	39144	39144	39144	6
Body mass index	23669352	2013-05-12	0	0	13627	13627	13627	7
Body mass index	24064335	2013-10-08	0	0	20913	20913	20913	2
Body mass index	24348519	2013-12-03	0	0	2860	2860	2860	1
Body mass index	24861553	2014-05-26	0	0	86739	86739	86739	16
Body mass index	25673413	2015-02-12	0	0	238944	238944	238944	231
Body mass index	25953783	2015-05-07	0	0	9377	9377	9377	7
Body mass index	26426971	2015-10-01	0	0	309889	309889	309889	188
Body mass index	26961502	2016-03-10	29925	89763	0	119688	89771.99969921797	19
Body mass index	27455349	2016-07-25	0	0	3072	3072	3072	1
Body mass index	28270201	2017-03-07	0	0	26763	26763	26763	5
Body mass index	28296344	2017-03-13	0	0	1570	1570	1570	1
Body mass index	28448500	2017-04-27	0	0	161368	161368	161368	191
Body mass index	28552196	2017-06-01	0	0	56793	56793	56793	19
Body mass index	28892062	2017-09-11	0	0	158284	158284	158284	251
Body mass index	29273807	2017-12-22	0	0	526508	526508	526508	89
Body mass index	29381148	2017-12-21	0	0	102514	102514	102514	17
Body mass index	30045251	2018-07-01	0	0	8832	8832	8832	5
Body mass index	30108127	2018-08-14	0	0	334487	334487	334487	208
Body mass index	30108283	2018-08-14	0	0	901	901	901	1
Body mass index	30239722	2018-09-14	0	0	806834	806834	806834	1157
Body mass index	30271922	2018-05-03	0	0	772825	772825	772825	4
Body mass index	30595370	2018-12-27	0	0	458000	458000	458000	917
Body mass index	31217584	2019-06-19	0	0	49335	49335	49335	42
Body mass index	31453325	2019-08-14	0	0	346393	346393	346393	22
Body mass index	31498392	2019-09-09	0	0	5251	5251	5251	1
Body mass index	31513605	2019-09-12	0	0	8842	8842	8842	1
Body mass index	31669095	2019-10-24	0	0	457822	457822	457822	1636
Body mass index	31675503	2019-10-01	0	0	14126	14126	14126	2
Body mass index	31978080	2020-01-24	0	0	4626	4626	4626	1
Body mass index (SNP x SNP interaction)	22344221	2012-02-19	0	0	26620	26620	26620	8
Body mass index (adult)	28430825	2017-04-21	0	0	42752	42752	42752	21
Body mass index (age <50)	26426971	2015-10-01	0	0	112279	112279	112279	10
Body mass index (age interaction)	25953783	2015-05-07	0	0	9377	9377	9377	2
Body mass index (age>50)	26426971	2015-10-01	0	0	197610	197610	197610	8
Body mass index (change over time)	25133637	2014-08-18	0	0	4983	4983	4983	1
Body mass index (change over time) in chronic obstructive pulmonary disease	28044437	2017-01-02	237	0	0	237	237	1
Body mass index (change over time) in gastrointestinal cancer	28044437	2017-01-02	204	0	0	204	204	1
Body mass index (change over time) in gastrointestinal cancer or chronic obstructive pulmonary disease	28044437	2017-01-02	441	0	0	441	441	1
Body mass index (joint analysis main effects and physical activity interaction)	28448500	2017-04-27	0	0	161368	161368	161368	162
Body mass index (joint analysis main effects and smoking interaction)	28443625	2017-04-26	0	0	196760	196760	196760	72
Body mass index (physical activity interaction)	28448500	2017-04-27	0	0	161368	161368	161368	1
Body mass index in asthmatics	23517042	2013-04-01	0	0	6151	6151	6151	1
Body mass index in physically active individuals	28448500	2017-04-27	0	0	123097	123097	123097	105
Body mass index in physically inactive individuals	28448500	2017-04-27	0	0	38595	38595	38595	20
Body mass index variance	26278006	2015-08-17	0	0	14131	14131	14131	1
Body mass index variance	31453325	2019-08-14	0	0	346393	346393	346393	22
Body mass index x sex x age interaction (4df test)	26426971	2015-10-01	0	0	309889	309889	309889	12
Bone fracture in osteoporosis	28580392	2016-08-27	0	0	10305	10305	10305	1
Bone mineral accretion in asthma (oral corticosteroid dose interaction)	26025128	2015-05-27	0	0	489	489	489	4
Bone mineral content	31790847	2019-11-29	0	0	1030	1030	1030	1
Bone mineral density	18455228	2008-04-29	0	0	2094	2094	2094	2
Bone mineral density	19249006	2009-02-25	0	0	1000	1000	1000	1
Bone mineral density	20096396	2010-01-20	0	0	785	785	785	1
Bone mineral density	21124946	2010-11-18	0	0	1934	1934	1934	1
Bone mineral density	21533022	2011-04-21	0	0	1955	1955	1955	3
Bone mineral density	22792070	2012-07-05	0	0	2659	2659	2659	2
Bone mineral density	22792071	2012-07-05	0	0	5672	5672	5672	1
Bone mineral density	23437003	2013-02-21	0	0	5878	5878	5878	5
Bone mineral density	23572186	2013-04-09	0	0	5866	5866	5866	1
Bone mineral density	23644456	2013-05-05	4931	69034	0	73965	18409.066666666666	2
Bone mineral density	24249740	2013-11-17	0	0	11140	11140	11140	16
Bone mineral density (Ward's triangle area)	27397699	2016-07-07	0	0	5596	5596	5596	1
Bone mineral density (femoral neck)	26911590	2016-02-25	0	0	1042	1042	1042	1
Bone mineral density (hip)	18445777	2008-04-29	0	0	5861	5861	5861	4
Bone mineral density (hip)	19079262	2008-12-14	0	0	6865	6865	6865	3
Bone mineral density (hip)	19801982	2009-10-04	0	0	19195	19195	19195	9
Bone mineral density (hip)	26733130	2016-01-06	0	0	20162	20162	20162	4
Bone mineral density (hip)	27311723	2016-06-16	0	0	6912	6912	6912	4
Bone mineral density (hip)	30172743	2018-08-30	0	0	2286	2286	2286	4
Bone mineral density (hip) and age at menarche	26312577	2015-08-27	0	0	826	826	826	1
Bone mineral density (paediatric, lower limb)	24945404	2014-06-19	0	0	9416	9416	9416	7
Bone mineral density (paediatric, skull)	24945404	2014-06-19	0	0	9385	9385	9385	15
Bone mineral density (paediatric, total body less head)	24945404	2014-06-19	0	0	9416	9416	9416	10
Bone mineral density (paediatric, total body less head)	28743860	2017-07-25	0	0	10414	10414	10414	7
Bone mineral density (paediatric, upper limb)	24945404	2014-06-19	0	0	9416	9416	9416	8
Bone mineral density (spine)	18445777	2008-04-29	0	0	5861	5861	5861	6
Bone mineral density (spine)	19079262	2008-12-14	0	0	6865	6865	6865	3
Bone mineral density (spine)	19801982	2009-10-04	0	0	19195	19195	19195	15
Bone mineral density (spine)	26733130	2016-01-06	0	0	20132	20132	20132	6
Bone mineral density (spine)	26911590	2016-02-25	0	0	1042	1042	1042	1
Bone mineral density (spine)	27424934	2016-07-15	0	0	2729	2729	2729	1
Bone mineral density (total hip)	27424934	2016-07-15	0	0	2729	2729	2729	2
Bone mineral density (total hip)	29883787	2018-06-05	0	0	2110	2110	2110	3
Bone properties (heel)	24430505	2014-01-14	0	0	14260	14260	14260	17
Bone ultrasound measurement (broadband ultrasound attenuation)	28472463	2017-05-04	0	0	16627	16627	16627	13
Bone ultrasound measurement (velocity of sound)	28472463	2017-05-04	0	0	16627	16627	16627	9
Brain connectivity	23471985	2013-03-05	0	0	331	331	331	12
Brain imaging	20100581	2010-01-22	529	204	0	733	588.9004092769441	1
Brain imaging measurements	30305740	2018-10-10	0	0	8428	8428	8428	6
Brain region volumes	31676860	2019-11-01	0	0	19629	19629	19629	1080
Brain structure	22504417	2012-04-15	2020	5775	0	7795	5986.144964720975	2
Brain volume in infants (grey matter)	28763065	2017-08-01	0	0	428	428	428	1
Brain volume in infants (white matter)	28763065	2017-08-01	0	0	428	428	428	1
Brainstem volume	31636452	2019-10-21	0	0	28809	28809	28809	16
Branched-chain amino acid levels (Isoleucine)	27898682	2016-11-29	0	0	16596	16596	16596	5
Branched-chain amino acid levels (Leucine)	27898682	2016-11-29	0	0	16596	16596	16596	1
Branched-chain amino acid levels (Valine)	27898682	2016-11-29	0	0	16596	16596	16596	1
Breakfast cereal skipping frequency	31190057	2019-06-13	0	0	193860	193860	193860	6
Breakfast skipping	31190057	2019-06-13	1359	10604	0	11963	4818.468945916576	6
Breast Cancer in BRCA1 mutation carriers	23544013	2013-03-27	1426	1301	0	2727	2721.2702603593693	2
Breast Cancer in BRCA1 mutation carriers	29058716	2017-10-23	7784	7782	0	15566	15565.999743029679	4
Breast cancer	17529967	2007-05-27	390	364	0	754	753.1034482758621	5
Breast cancer	17529973	2007-05-27	1145	1142	0	2287	2286.9960647135986	1
Breast cancer	17529974	2007-05-27	1599	11546	0	13145	5617.970026626093	2
Breast cancer	18326623	2008-03-11	249	299	0	548	543.4379562043796	1
Breast cancer	19219042	2009-02-15	1505	1522	0	3027	3026.904525933267	1
Breast cancer	19330027	2009-05-01	390	364	0	754	753.1034482758621	2
Breast cancer	19330030	2009-03-29	1145	1142	0	2287	2286.9960647135986	4
Breast cancer	20453838	2010-05-09	3659	4897	0	8556	8376.86909770921	8
Breast cancer	20585626	2010-06-24	2073	2084	0	4157	4156.970892470531	1
Breast cancer	20852631	2010-09-19	1193	1190	0	2383	2382.9962232480066	1
Breast cancer	20872241	2010-09-26	2702	5726	0	8428	7342.976744186048	1
Breast cancer	21263130	2011-01-24	2839	3507	0	6346	6275.684210526316	7
Breast cancer	21908515	2011-09-09	2062	2066	0	4128	4127.996124031008	1
Breast cancer	22037553	2011-10-30	3749	3670	0	7419	7418.1587815069415	1
Breast cancer	22383897	2012-02-23	2918	2324	0	5242	5174.690576115986	1
Breast cancer	22452962	2012-03-27	2273	2052	0	4325	4313.707283236994	1
Breast cancer	22976474	2012-09-13	4670	31608	0	36278	16275.358068250729	3
Breast cancer	23535729	2013-04-01	10052	12575	0	22627	22345.675520395987	62
Breast cancer	23535733	2013-04-01	4193	35194	0	39387	14986.512504125727	10
Breast cancer	24143190	2013-10-15	2642	2099	0	4741	4678.808690149758	3
Breast cancer	25038754	2014-07-20	5113	4337	0	9450	9386.277671957672	3
Breast cancer	25327703	2014-10-20	1497	3213	0	4710	4084.807643312102	2
Breast cancer	25751625	2015-04-01	15748	18084	0	33832	33670.70607708678	120
Breast cancer	27117709	2016-04-27	4939	14352	0	19291	14697.947851329634	20
Breast cancer	27354352	2016-06-27	7619	6286	0	13905	13777.212225818052	6
Breast cancer	29058716	2017-10-23	21919	65908	0	87827	65794.6850968381	10
Breast cancer	29059683	2017-10-23	76192	63082	0	139274	138039.9426741531	379
Breast cancer	31757997	2019-11-22	6669	21930	0	28599	20455.42431553551	15
Breast cancer (early onset)	24493630	2014-02-03	3523	2702	0	6225	6116.720321285141	18
Breast cancer (estrogen-receptor negative)	27117709	2016-04-27	4939	14352	0	19291	14697.947851329634	15
Breast cancer (estrogen-receptor negative)	28171663	2016-09-04	1391	4774	0	6165	4308.602757502027	2
Breast cancer (estrogen-receptor negative)	29058716	2017-10-23	14135	58126	0	72261	45480.190420835585	31
Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)	24325915	2013-12-09	1529	3399	0	4928	4218.401785714285	2
Breast cancer (estrogen-receptor positive)	28171663	2016-09-04	1894	4774	0	6668	5424.088782243552	1
Breast cancer (male)	23001122	2012-09-23	823	2795	0	3618	2543.156440022112	2
Breast cancer (survival)	25890600	2015-04-18	37954	0	0	37954	37954	2
Breast cancer in BRCA2 mutation carriers	21060860	2010-10-28	899	804	0	1703	1697.7005284791546	1
Breast cancer in BRCA2 mutation carriers	23544012	2013-03-27	0	0	8211	8211	8211	3
Breast cancer in childhood cancer survivors treated with more than 10 gray radiotherapy	29059430	2017-11-01	131	493	0	624	413.9935897435898	1
Breast milk fatty acid composition (infant genotype effect)	29514873	2018-03-07	0	0	1142	1142	1142	1
Breast milk fatty acid composition (maternal genotype effect)	29514873	2018-03-07	0	0	1142	1142	1142	10
Breast size	22747683	2012-06-30	0	0	16175	16175	16175	7
Breast size	27182965	2016-05-16	0	0	33790	33790	33790	12
Breast size	29855537	2018-05-31	0	0	5609	5609	5609	6
Broad depression or bipolar disorder	30626913	2019-01-09	16721	18769	51258	86748	35371.81730064807	2
Broad depression or major depressive disorder (recurrent)	30626913	2019-01-09	14543	14856	51258	80657	29395.667607741765	1
Broad depression or major depressive disorder (self-reported)	30626913	2019-01-09	84847	241266	51258	377371	251087.1544771291	3
Broad depression or schizophrenia	30626913	2019-01-09	46229	122594	51258	220081	134280.23494429077	16
Bronchial hyperresponsiveness in asthma	27439200	2016-07-20	920	980	0	1900	1898.1052631578948	1
Bronchial neuroendocrine tumor	27492634	2016-08-01	128	4542	0	4670	497.96659528907924	1
Bronchodilator response in asthma	25562107	2015-03-01	0	0	724	724	724	1
Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)	24280104	2013-11-23	172	409	0	581	484.32358003442334	4
Brown vs. black hair color	30531825	2018-12-10	0	0	283920	283920	283920	56
Brown vs. non-brown hair color	26184321	2015-07-13	0	0	7091	7091	7091	7
Brugada syndrome	23872634	2013-07-21	312	1115	0	1427	975.1366503153469	3
Burning and freckling	18488028	2008-05-18	0	0	5130	5130	5130	1
Butyrylcholinesterase levels	21862451	2011-08-23	0	0	6879	6879	6879	3
C-X-C motif chemokine 10 levels	25147954	2014-08-22	0	0	653	653	653	1
C-peptide levels in type I diabetes	29404672	2018-02-05	0	0	3479	3479	3479	1
C-reactive protein	18439548	2008-04-24	0	0	6345	6345	6345	7
C-reactive protein	18439552	2008-04-24	0	0	909	909	909	1
C-reactive protein	19567438	2009-07-01	0	0	17967	17967	17967	5
C-reactive protein	21196492	2010-12-31	0	0	10112	10112	10112	3
C-reactive protein	21647738	2011-06-07	0	0	1709	1709	1709	2
C-reactive protein	22492993	2012-04-05	0	0	837	837	837	1
C-reactive protein	22939635	2012-08-28	0	0	11828	11828	11828	10
C-reactive protein	23844046	2013-07-02	0	0	6692	6692	6692	4
C-reactive protein (red blood cell fatty acid level interaction)	28820441	2017-08-19	0	0	2703	2703	2703	2
C-reactive protein and white blood cell count	22788528	2012-07-13	0	0	8722	8722	8722	9
C-reactive protein levels	21300955	2011-02-07	0	0	66185	66185	66185	18
C-reactive protein levels	24763700	2014-04-24	0	0	7626	7626	7626	3
C-reactive protein levels	28548082	2017-05-26	0	0	3213	3213	3213	1
C-reactive protein levels	29403010	2018-02-05	0	0	75391	75391	75391	7
C-reactive protein levels	30388399	2018-11-01	0	0	206158	206158	206158	133
C-reactive protein levels	31217584	2019-06-19	0	0	28520	28520	28520	39
C-reactive protein levels	31900758	2020-01-03	0	0	418642	418642	418642	526
C-reactive protein levels in ischemic stroke	26718567	2015-12-30	2100	0	0	2100	2100	1
C-reactive protein levels or HDL-cholesterol levels (pleiotropy)	27286809	2016-06-10	0	0	164900	164900	164900	20
C-reactive protein levels or LDL-cholesterol levels (pleiotropy)	27286809	2016-06-10	0	0	160454	160454	160454	21
C-reactive protein levels or total cholesterol levels (pleiotropy)	27286809	2016-06-10	0	0	165184	165184	165184	20
C-reactive protein levels or triglyceride levels (pleiotropy)	27286809	2016-06-10	0	0	161598	161598	161598	21
C4b binding protein levels	20212171	2010-03-08	0	0	352	352	352	1
CCL19 levels	25147954	2014-08-22	0	0	653	653	653	1
CCL24 levels	25147954	2014-08-22	0	0	653	653	653	1
CD40 ligand levels	25147954	2014-08-22	0	0	653	653	653	1
CD4:CD8 lymphocyte ratio	20045101	2009-12-31	0	0	3627	3627	3627	1
CD8-positive T-lymphocyte count	20045101	2009-12-31	0	0	3627	3627	3627	1
CTACK levels	27989323	2016-12-13	0	0	3631	3631	3631	3
CXCL5 levels	25147954	2014-08-22	0	0	653	653	653	2
Cadmium levels	26025379	2015-05-29	0	0	949	949	949	1
Caffeine consumption	21490707	2011-04-07	0	0	47431	47431	47431	2
Caffeine metabolism (plasma 1,3,7-trimethylxanthine (caffeine) level)	27702941	2016-10-03	0	0	9054	9054	9054	8
Caffeine metabolism (plasma 1,3-dimethylxanthine (theophylline) level)	27702941	2016-10-03	0	0	5261	5261	5261	1
Caffeine metabolism (plasma 1,7-dimethylxanthine (paraxanthine) level)	27702941	2016-10-03	0	0	5353	5353	5353	1
Caffeine metabolism (plasma 1,7-dimethylxanthine (paraxanthine) to 1,3,7-trimethylxanthine (caffeine) ratio)	27702941	2016-10-03	0	0	5323	5323	5323	29
Calcaneal bone ultrasound measurement (speed of sound)	26686025	2015-12-12	0	0	1895	1895	1895	1
Calcaneus stiffness index	30779856	2019-02-19	0	0	7742	7742	7742	3
Calcific aortic valve stenosis	29511167	2018-03-07	1009	1017	0	2026	2025.9684106614015	1
Calcific aortic valve stenosis	32141789	2019-10-15	5115	354072	0	359187	20168.63951089544	4
Calcium levels	20661308	2010-07-22	0	0	12865	12865	12865	1
Calcium levels	20705733	2010-08-12	0	0	20611	20611	20611	1
Calcium levels	24068962	2013-09-19	0	0	39400	39400	39400	8
Calcium levels	25972035	2015-05-14	0	0	4558	4558	4558	1
Calcium levels	29403010	2018-02-05	0	0	71701	71701	71701	17
Cancer	27197191	2016-04-20	61851	61820	0	123671	123670.99222938278	4
Cancer (pleiotropy)	27197191	2016-04-20	61851	61820	0	123671	123670.99222938278	14
Cannabis dependence symptom count	27028160	2016-03-30	0	0	14754	14754	14754	4
Cannabis use	30150663	2018-08-27	0	0	184765	184765	184765	8
Cannabis use (age at onset)	30003630	2018-07-13	0	0	24953	24953	24953	1
Cannabis use disorder	31209380	2019-06-17	2387	48985	0	51372	9104.3521762828	1
Capecitabine sensitivity	22864933	2012-01-03	0	0	503	503	503	1
Carbamazepine-induced maculopapular exanthema	29288229	2017-12-29	180	1066	0	1246	615.9871589085072	1
Carbamazepine-induced reaction with eosinophilia and systemic symptoms	31066027	2019-05-07	25	10701	0	10726	99.76692149916092	1
Carbamazepine-induced serious cutaneous adverse reaction	31066027	2019-05-07	43	10701	0	10744	171.31161578555472	2
Cardia gastric cancer	26129866	2015-06-30	1189	2708	0	3897	3304.913523222992	1
Cardiac Troponin-T levels	23247143	2012-12-16	0	0	11544	11544	11544	2
Cardiac Troponin-T levels	31014085	2019-04-24	0	0	10395	10395	10395	4
Cardiac hypertrophy	21348951	2011-02-01	0	0	851	851	851	1
Cardiac muscle measurement	21212386	2011-01-06	0	0	1258	1258	1258	1
Cardiac structure and function	19584346	2009-07-08	0	0	12612	12612	12612	1
Cardiac troponin-I levels	31014085	2019-04-24	0	0	14579	14579	14579	5
Cardiometabolic and hematological traits	27668658	2016-11-01	0	0	35981	35981	35981	17
Cardiovascular disease	30595370	2018-12-27	0	0	459000	459000	459000	285
Cardiovascular disease risk factors	21943158	2011-09-24	0	0	11683	11683	11683	19
Cardiovascular heart disease in diabetics	23982368	2013-08-28	669	1641	0	2310	1901.0025974025973	1
Cardiovascular risk factors	20838585	2010-09-09	0	0	525	525	525	2
Carotenoid and tocopherol levels	19185284	2009-01-29	0	0	1191	1191	1191	2
Carotenoid levels	23696881	2013-05-16	0	0	1200	1200	1200	3
Carotenoid levels (alpha-carotene)	28002826	2016-12-22	0	0	433	433	433	3
Carotid atherosclerosis in HIV infection	20009918	2010-01-01	0	0	177	177	177	1
Carotid intima media thickness	21909108	2011-09-11	0	0	31211	31211	31211	5
Carotid intima media thickness	26343869	2015-09-05	0	0	810	810	810	3
Carotid intima media thickness	30510157	2018-12-03	0	0	71128	71128	71128	11
Carotid intima media thickness (maximum)	31801372	2019-12-05	0	0	22179	22179	22179	3
Carotid intima media thickness (mean)	31801372	2019-12-05	0	0	22179	22179	22179	12
Carotid intima media thickness (mean-maximum)	31801372	2019-12-05	0	0	22179	22179	22179	8
Carotid intima media thickness in rheumatoid arthritis	30251476	2018-09-24	0	0	1355	1355	1355	1
Carotid plaque	30510157	2018-12-03	21540	26894	0	48434	47842.15716232399	5
Carotid plaque burden	28282560	2017-02-24	0	0	7189	7189	7189	2
Carpal tunnel syndrome	30833571	2019-03-04	12312	389344	0	401656	47738.39631923836	16
Cataracts (operation)	31816047	2019-12-09	21679	387283	0	408962	82119.20087440887	20
Caudate nucleus volume	31636452	2019-10-21	0	0	37741	37741	37741	16
Celiac disease	17558408	2007-06-10	778	1422	0	2200	2011.4836363636364	2
Celiac disease	18311140	2008-03-02	767	1422	0	2189	1993.0086797624483	5
Celiac disease	20190752	2010-02-28	4533	10750	0	15283	12753.975004907415	27
Celiac disease	22057235	2011-11-06	12041	12228	0	24269	24267.559108327496	35
Celiac disease	23936387	2013-08-02	0	0	206	206	206	1
Celiac disease	24999842	2014-07-07	1550	3084	0	4634	4126.197669400087	4
Celiac disease	25920553	2015-04-29	425	453	0	878	877.1070615034168	23
Celiac disease	30572963	2018-12-20	11489	22308	0	33797	30333.652336006155	29
Celiac disease	31591516	2019-10-07	12948	14826	0	27774	27647.014906027216	4
Celiac disease and Rheumatoid arthritis	26546613	2016-01-01	26200	20754	0	46954	46322.34101461004	24
Celiac disease or Rheumatoid arthritis	21383967	2011-02-24	10072	27981	0	38053	29624.432449478358	12
Cellular adhesion molecule (red blood cell fatty acid level interaction)	28820441	2017-08-19	0	0	2703	2703	2703	1
Central corneal thickness	20485516	2010-05-13	301	301	5378	5980	602.0	2
Central corneal thickness	20719862	2010-08-18	0	0	1445	1445	1445	5
Central corneal thickness	22814818	2012-07-20	0	0	3931	3931	3931	2
Central corneal thickness	23493294	2013-03-14	0	0	1644	1644	1644	1
Central corneal thickness	28171582	2016-11-15	0	0	3584	3584	3584	5
Central corneal thickness	29760442	2018-05-14	0	0	25910	25910	25910	57
Central corneal thickness	29847655	2018-05-01	0	0	210	210	210	2
Central corneal thickness	30894546	2019-03-20	0	0	6125	6125	6125	6
Central corneal thickness	31798171	2019-11-27	0	0	16204	16204	16204	31
Central retinal arteriolar equivalent	26567291	2015-11-13	0	0	24275	24275	24275	1
Central retinal vein equivalent	26567291	2015-11-13	0	0	24275	24275	24275	4
Central serous retinopathy	31872073	2019-12-12	610	2850	0	3460	2009.8265895953755	4
Ceramide levels	31551469	2019-09-24	0	0	2045	2045	2045	7
Cerebral amyloid angiopathy	25188341	2014-09-04	1673	1134	0	2807	2703.501246882793	1
Cerebral amyloid deposition (PET imaging)	26252872	2015-08-07	0	0	883	883	883	1
Cerebral amyloid deposition (PET imaging)	30361487	2018-10-25	0	0	983	983	983	27
Cerebral amyloid deposition in APOEe4 non-carriers (PET imaging)	26252872	2015-08-07	0	0	370	370	370	1
Cerebral amyloid deposition positivity (PET imaging)	26252872	2015-08-07	0	0	646	646	646	1
Cerebral blood flow	28627999	2017-06-19	0	0	4472	4472	4472	1
Cerebrospinal AB1-42 levels in Alzheimer's disease dementia	25027320	2014-07-15	0	0	363	363	363	2
Cerebrospinal AB1-42 levels in mild cognitive impairment	29274321	2017-12-20	581	0	0	581	581	1
Cerebrospinal AB1-42 levels in normal cognition	29274321	2017-12-20	0	0	305	305	305	3
Cerebrospinal P-tau181p levels	28247064	2017-02-28	0	0	3146	3146	3146	5
Cerebrospinal T-tau levels	20932310	2010-10-08	281	109	0	390	314.14358974358976	1
Cerebrospinal T-tau levels	28247064	2017-02-28	0	0	3146	3146	3146	2
Cerebrospinal fluid AB1-42 levels	20932310	2010-10-08	281	109	0	390	314.14358974358976	1
Cerebrospinal fluid AB1-42 levels	26252872	2015-08-07	561	215	0	776	621.7268041237113	2
Cerebrospinal fluid AB1-42 levels	28247064	2017-02-28	0	0	3146	3146	3146	4
Cerebrospinal fluid AB1-42 levels	28641921	2017-05-15	113	0	730	843	843	4
Cerebrospinal fluid AB1-42 levels	29274321	2017-12-20	771	0	305	1076	1076	2
Cerebrospinal fluid AB1-42 levels	30319691	2018-09-24	531	0	281	812	812	5
Cerebrospinal fluid beta-site APP cleaving enzyme levels	29751835	2018-05-11	249	91	0	340	266.5764705882353	1
Cerebrospinal fluid biomarker levels	28031287	2016-11-26	0	0	133	133	133	65
Cerebrospinal fluid levels of Alzheimer's disease-related proteins	25340798	2014-10-23	0	0	574	574	574	5
Cerebrospinal fluid neurofilament light levels	31930058	2019-11-01	0	0	263	263	263	1
Cerebrospinal fluid p-Tau181p:AB1-42 ratio	30319691	2018-09-24	531	0	281	812	812	4
Cerebrospinal fluid p-tau levels	29274321	2017-12-20	771	0	305	1076	1076	1
Cerebrospinal fluid p-tau levels in mild cognitive impairment	29274321	2017-12-20	581	0	0	581	581	2
Cerebrospinal fluid pyridoxal phosphate to pyridoxal ratio	30583557	2018-12-22	0	0	493	493	493	1
Cerebrospinal fluid sTREM-2 levels	31204042	2019-05-21	0	0	449	449	449	1
Cerebrospinal fluid sTREM-2 levels	31413141	2019-08-01	0	0	813	813	813	2
Cerebrospinal fluid sTREM-2 levels	31708768	2019-10-25	194	0	807	1001	1001	35
Cerebrospinal fluid t-tau levels	28641921	2017-05-15	113	0	730	843	843	3
Cerebrospinal fluid t-tau levels	29274321	2017-12-20	771	0	305	1076	1076	1
Cerebrospinal fluid t-tau levels in mild cognitive impairment	29274321	2017-12-20	581	0	0	581	581	1
Cerebrospinal fluid t-tau levels in normal cognition	29274321	2017-12-20	0	0	305	305	305	2
Cerebrospinal fluid t-tau:AB1-42 ratio	28641921	2017-05-15	113	0	730	843	843	21
Cerebrospinal fluid t-tau:AB1-42 ratio	30153862	2018-08-28	0	0	3146	3146	3146	8
Cerebrospinal fluid t-tau:AB1-42 ratio	30319691	2018-09-24	531	0	281	812	812	5
Cerebrospinal fluid α-synuclein levels	29959729	2018-06-29	49	0	160	209	209	2
Cervical artery dissection	25420145	2014-11-24	1393	14416	0	15809	5081.02675691062	2
Cervical cancer	23482656	2013-03-12	1034	3948	0	4982	3277.584905660377	3
Cervical cancer	23817570	2013-06-30	1364	3028	0	4392	3761.559198542805	4
Cervical cancer	27285765	2016-06-07	1637	4442	0	6079	4784.704063168284	1
Cervical cancer	28806749	2017-08-14	2866	6481	0	9347	7948.880282443564	7
Cervical cancer	30412241	2018-11-09	2609	4712	0	7321	6716.9009698128675	3
Cervical cancer	31488892	2019-09-05	538	39556	0	40094	2123.123459869307	14
Cervical cancer (multi-trait analysis)	31488892	2019-09-05	538	39556	0	40094	2123.123459869307	3
Change in glucose in response to thiazide diuretic treatment in hypertension	29523524	2018-03-09	0	0	310	310	310	3
Change in intraocular pressure in response to steroid treatment (triamcinolone acetonide)	25813999	2015-04-01	0	0	64	64	64	1
Change in neurofilament light levels	31295725	2019-07-11	0	0	545	545	545	1
